t,product_id,product_name,tx_units,open_orders,backlog_units,shock_severity
0,0,product0,0.0,0,0.0,0.000615
0,1,product1,0.0,0,0.0,0.00075
0,2,product2,0.0,0,0.0,0.000447
0,3,product3,0.0,0,0.0,0.000922
0,4,product4,0.0,0,0.0,0.000839
0,5,product5,0.0,0,0.0,0.0
0,6,product6,0.0,0,0.0,0.0
0,7,product7,0.0,0,0.0,0.0
0,8,product8,0.0,0,0.0,0.0
0,9,product9,0.0,0,0.0,0.0
0,10,product10,0.0,0,0.0,0.0
0,11,product11,0.0,0,0.0,0.0
0,12,product12,0.0,0,0.0,0.0
0,13,product13,0.0,0,0.0,0.0
0,14,product14,0.0,0,0.0,0.0
0,15,product15,0.0,0,0.0,0.0
0,16,product16,0.0,0,0.0,0.0
0,17,product17,0.0,0,0.0,0.0
0,18,product18,0.0,0,0.0,0.0
0,19,product19,0.0,0,0.0,0.0
0,20,product20,0.0,0,0.0,0.0
0,21,product21,0.0,0,0.0,0.0
0,22,product22,0.0,0,0.0,0.0
0,23,product23,0.0,0,0.0,0.0
0,24,product24,0.0,0,0.0,0.0
0,25,product25,0.0,0,0.0,0.0
0,26,product26,0.0,0,0.0,0.0
0,27,product27,0.0,7,0.0,0.0
0,28,product28,0.0,7,0.0,0.0
0,29,product29,0.0,0,0.0,0.0
0,30,product30,0.0,0,0.0,0.0
0,31,product31,0.0,10,0.0,0.0
0,32,product32,0.0,0,0.0,0.0
0,33,product33,0.0,10,0.0,0.0
0,34,product34,0.0,8,0.0,0.0
0,35,product35,0.0,14,9.0,0.0
0,36,product36,0.0,8,0.0,0.0
0,37,product37,0.0,12,0.0,0.0
0,38,product38,0.0,16,39.0,0.0
0,39,product39,0.0,9,0.0,0.0
0,40,product40,0.0,5,0.0,0.0
0,41,product41,0.0,8,0.0,0.0
0,42,product42,0.0,8,0.0,0.0
0,43,product43,0.0,8,0.0,0.0
0,44,product44,0.0,10,0.0,0.0
0,45,product45,0.0,14,18.0,0.0
0,46,product46,0.0,8,6.0,0.0
0,47,product47,0.0,16,44.0,0.0
0,48,product48,0.0,10,18.0,0.0
0,49,product49,0.0,8,7.0,0.0
1,0,product0,0.0,0,0.0,0.0
1,1,product1,0.0,0,0.0,0.000169
1,2,product2,0.0,0,0.0,0.000229
1,3,product3,0.0,0,0.0,0.000992
1,4,product4,0.0,0,0.0,0.001568
1,5,product5,0.0,0,0.0,0.0
1,6,product6,0.0,0,0.0,0.0
1,7,product7,0.0,0,0.0,0.0
1,8,product8,0.0,0,0.0,0.0
1,9,product9,0.0,0,0.0,0.0
1,10,product10,0.0,0,0.0,0.0
1,11,product11,0.0,0,0.0,0.0
1,12,product12,0.0,0,0.0,0.0
1,13,product13,0.0,0,0.0,0.0
1,14,product14,0.0,0,0.0,0.0
1,15,product15,0.0,0,0.0,0.0
1,16,product16,0.0,7,0.0,0.0
1,17,product17,0.0,10,0.0,0.0
1,18,product18,0.0,4,0.0,0.0
1,19,product19,0.0,0,0.0,0.0
1,20,product20,0.0,3,0.0,0.0
1,21,product21,0.0,0,0.0,0.0
1,22,product22,0.0,0,0.0,0.0
1,23,product23,0.0,10,0.0,0.0
1,24,product24,0.0,4,0.0,0.0
1,25,product25,0.0,9,0.0,0.0
1,26,product26,0.0,6,0.0,0.0
1,27,product27,0.0,18,0.0,0.0
1,28,product28,0.0,18,0.0,0.0
1,29,product29,0.0,13,0.0,0.0
1,30,product30,0.0,6,0.0,0.0
1,31,product31,0.0,28,0.0,0.0
1,32,product32,0.0,6,0.0,0.0
1,33,product33,0.0,33,0.0,0.0
1,34,product34,0.0,23,0.0,0.0
1,35,product35,0.0,21,16.0,0.0
1,36,product36,0.0,14,0.0,0.0
1,37,product37,0.0,23,0.0,0.0
1,38,product38,0.0,24,73.0,0.0
1,39,product39,0.0,17,0.0,0.0
1,40,product40,0.0,10,0.0,0.0
1,41,product41,0.0,16,0.0,0.0
1,42,product42,0.0,14,0.0,0.0
1,43,product43,0.0,14,0.0,0.0
1,44,product44,0.0,17,0.0,0.0
1,45,product45,0.0,21,26.0,0.0
1,46,product46,0.0,12,9.0,0.0
1,47,product47,0.0,24,82.0,0.0
1,48,product48,0.0,15,31.0,0.0
1,49,product49,0.0,12,11.0,0.0
2,0,product0,0.0,0,0.0,0.0
2,1,product1,0.0,0,0.0,0.000649
2,2,product2,0.0,0,0.0,0.000136
2,3,product3,0.0,0,0.0,0.000636
2,4,product4,0.0,0,0.0,0.0
2,5,product5,0.0,9,0.0,0.0
2,6,product6,0.0,0,0.0,0.0
2,7,product7,0.0,0,0.0,0.0
2,8,product8,0.0,10,0.0,0.0
2,9,product9,0.0,2,0.0,0.0
2,10,product10,0.0,6,0.0,0.0
2,11,product11,0.0,7,0.0,0.0
2,12,product12,0.0,7,0.0,0.0
2,13,product13,0.0,2,0.0,0.0
2,14,product14,0.0,0,0.0,0.0
2,15,product15,0.0,9,0.0,0.0
2,16,product16,0.0,18,0.0,0.0
2,17,product17,0.0,25,0.0,0.0
2,18,product18,0.0,14,0.0,0.0
2,19,product19,0.0,6,0.0,0.0
2,20,product20,0.0,8,0.0,0.0
2,21,product21,0.0,11,0.0,0.0
2,22,product22,0.0,7,0.0,0.0
2,23,product23,0.0,27,0.0,0.0
2,24,product24,0.0,12,0.0,0.0
2,25,product25,0.0,17,0.0,0.0
2,26,product26,0.0,12,0.0,0.0
2,27,product27,0.0,28,0.0,0.0
2,28,product28,0.0,28,0.0,0.0
2,29,product29,0.0,26,0.0,0.0
2,30,product30,0.0,12,0.0,0.0
2,31,product31,0.0,46,0.0,0.0
2,32,product32,0.0,10,0.0,0.0
2,33,product33,0.0,55,0.0,0.0
2,34,product34,0.0,37,0.0,0.0
2,35,product35,0.0,28,21.0,0.0
2,36,product36,0.0,22,0.0,0.0
2,37,product37,0.0,32,0.0,0.0
2,38,product38,0.0,32,109.0,0.0
2,39,product39,0.0,25,0.0,0.0
2,40,product40,0.0,15,0.0,0.0
2,41,product41,0.0,23,0.0,0.0
2,42,product42,0.0,22,0.0,0.0
2,43,product43,0.0,22,0.0,0.0
2,44,product44,0.0,26,0.0,0.0
2,45,product45,0.0,28,41.0,0.0
2,46,product46,0.0,16,14.0,0.0
2,47,product47,0.0,32,106.0,0.0
2,48,product48,0.0,20,44.0,0.0
2,49,product49,0.0,16,13.0,0.0
3,0,product0,0.0,16,0.0,0.000179
3,1,product1,0.0,2,0.0,0.0
3,2,product2,0.0,3,0.0,0.000448
3,3,product3,0.0,7,0.0,0.0
3,4,product4,0.0,18,0.0,0.000692
3,5,product5,0.0,25,0.0,0.0
3,6,product6,0.0,3,0.0,0.0
3,7,product7,0.0,9,0.0,0.0
3,8,product8,0.0,29,0.0,0.0
3,9,product9,0.0,11,0.0,0.0
3,10,product10,0.0,15,0.0,0.0
3,11,product11,0.0,26,0.0,0.0
3,12,product12,0.0,17,0.0,0.0
3,13,product13,0.0,5,0.0,0.0
3,14,product14,0.0,4,0.0,0.0
3,15,product15,0.0,19,0.0,0.0
3,16,product16,0.0,28,0.0,0.0
3,17,product17,0.0,38,0.0,0.0
3,18,product18,0.0,22,0.0,0.0
3,19,product19,0.0,11,0.0,0.0
3,20,product20,0.0,13,0.0,0.0
3,21,product21,0.0,20,0.0,0.0
3,22,product22,0.0,15,0.0,0.0
3,23,product23,0.0,41,0.0,0.0
3,24,product24,0.0,19,0.0,0.0
3,25,product25,0.0,26,0.0,0.0
3,26,product26,0.0,17,0.0,0.0
3,27,product27,0.0,40,0.0,0.0
3,28,product28,0.0,40,0.0,0.0
3,29,product29,0.0,41,0.0,0.0
3,30,product30,0.0,17,0.0,0.0
3,31,product31,0.0,65,0.0,0.0
3,32,product32,0.0,15,0.0,0.0
3,33,product33,0.0,78,0.0,0.0
3,34,product34,0.0,53,0.0,0.0
3,35,product35,0.0,35,30.0,0.0
3,36,product36,0.0,27,0.0,0.0
3,37,product37,0.0,43,0.0,0.0
3,38,product38,0.0,40,141.0,0.0
3,39,product39,0.0,30,0.0,0.0
3,40,product40,0.0,18,0.0,0.0
3,41,product41,0.0,31,0.0,0.0
3,42,product42,0.0,27,0.0,0.0
3,43,product43,0.0,27,0.0,0.0
3,44,product44,0.0,32,0.0,0.0
3,45,product45,0.0,35,53.0,0.0
3,46,product46,0.0,20,17.0,0.0
3,47,product47,0.0,40,136.0,0.0
3,48,product48,0.0,25,50.0,0.0
3,49,product49,0.0,20,17.0,0.0
4,0,product0,43113.0,21,0.0,0.000413
4,1,product1,90.0,7,0.0,0.000886
4,2,product2,270.0,4,0.0,0.000246
4,3,product3,3594.0,11,0.0,0.000637
4,4,product4,76452.0,25,0.0,0.00092
4,5,product5,0.0,40,0.0,0.0
4,6,product6,0.0,6,0.0,0.0
4,7,product7,0.0,18,0.0,0.0
4,8,product8,0.0,49,0.0,0.0
4,9,product9,0.0,20,0.0,0.0
4,10,product10,0.0,23,0.0,0.0
4,11,product11,0.0,44,0.0,0.0
4,12,product12,0.0,28,0.0,0.0
4,13,product13,0.0,7,0.0,0.0
4,14,product14,0.0,7,0.0,0.0
4,15,product15,0.0,30,0.0,0.0
4,16,product16,0.0,39,0.0,0.0
4,17,product17,0.0,52,0.0,0.0
4,18,product18,0.0,32,0.0,0.0
4,19,product19,0.0,18,0.0,0.0
4,20,product20,0.0,18,0.0,0.0
4,21,product21,0.0,33,0.0,0.0
4,22,product22,0.0,24,0.0,0.0
4,23,product23,0.0,58,0.0,0.0
4,24,product24,0.0,27,0.0,0.0
4,25,product25,0.0,32,0.0,0.0
4,26,product26,0.0,22,0.0,0.0
4,27,product27,0.0,52,0.0,0.0
4,28,product28,0.0,52,0.0,0.0
4,29,product29,0.0,51,0.0,0.0
4,30,product30,0.0,22,0.0,0.0
4,31,product31,0.0,82,0.0,0.0
4,32,product32,0.0,18,0.0,0.0
4,33,product33,0.0,98,0.0,0.0
4,34,product34,0.0,67,0.0,0.0
4,35,product35,0.0,42,40.0,0.0
4,36,product36,0.0,33,0.0,0.0
4,37,product37,0.0,53,0.0,0.0
4,38,product38,0.0,48,165.0,0.0
4,39,product39,0.0,37,0.0,0.0
4,40,product40,0.0,23,0.0,0.0
4,41,product41,0.0,39,0.0,0.0
4,42,product42,0.0,33,0.0,0.0
