t,product_id,product_name,tx_units,open_orders,backlog_units,shock_severity
0,0,product0,0.0,0,0.0,3e-06
0,1,product1,0.0,0,0.0,0.000817
0,2,product2,0.0,0,0.0,0.0
0,3,product3,0.0,0,0.0,0.000322
0,4,product4,0.0,0,0.0,0.001252
0,5,product5,0.0,0,0.0,0.0
0,6,product6,0.0,0,0.0,0.0
0,7,product7,0.0,0,0.0,0.0
0,8,product8,0.0,5,0.0,0.0
0,9,product9,0.0,0,0.0,0.0
0,10,product10,0.0,0,0.0,0.0
0,11,product11,0.0,9,0.0,0.0
0,12,product12,0.0,9,0.0,0.0
0,13,product13,0.0,9,0.0,0.0
0,14,product14,0.0,0,0.0,0.0
0,15,product15,0.0,12,14.0,0.0
0,16,product16,0.0,0,0.0,0.0
0,17,product17,0.0,10,27.0,0.0
0,18,product18,0.0,0,0.0,0.0
0,19,product19,0.0,0,0.0,0.0
0,20,product20,0.0,0,0.0,0.0
0,21,product21,0.0,0,0.0,0.0
0,22,product22,0.0,0,0.0,0.0
0,23,product23,0.0,0,0.0,0.0
0,24,product24,0.0,0,0.0,0.0
0,25,product25,0.0,6,0.0,0.0
0,26,product26,0.0,10,0.0,0.0
0,27,product27,0.0,0,0.0,0.0
0,28,product28,0.0,10,0.0,0.0
0,29,product29,0.0,0,0.0,0.0
0,30,product30,0.0,0,0.0,0.0
0,31,product31,0.0,0,0.0,0.0
0,32,product32,0.0,0,0.0,0.0
0,33,product33,0.0,0,0.0,0.0
0,34,product34,0.0,10,0.0,0.0
0,35,product35,0.0,16,19.0,0.0
0,36,product36,0.0,12,12.0,0.0
0,37,product37,0.0,9,0.0,0.0
0,38,product38,0.0,8,0.0,0.0
0,39,product39,0.0,4,0.0,0.0
0,40,product40,0.0,11,0.0,0.0
0,41,product41,0.0,7,0.0,0.0
0,42,product42,0.0,16,0.0,0.0
0,43,product43,0.0,10,0.0,0.0
0,44,product44,0.0,7,0.0,0.0
0,45,product45,0.0,14,28.0,0.0
0,46,product46,0.0,8,19.0,0.0
0,47,product47,0.0,8,6.0,0.0
0,48,product48,0.0,16,41.0,0.0
0,49,product49,0.0,14,21.0,0.0
1,0,product0,0.0,11,0.0,0.000249
1,1,product1,0.0,0,0.0,0.001794
1,2,product2,0.0,8,0.0,0.000885
1,3,product3,0.0,11,0.0,0.0
1,4,product4,0.0,0,0.0,0.0
1,5,product5,0.0,0,0.0,0.0
1,6,product6,0.0,0,0.0,0.0
1,7,product7,0.0,0,0.0,0.0
1,8,product8,0.0,10,0.0,0.0
1,9,product9,0.0,0,0.0,0.0
1,10,product10,0.0,0,0.0,0.0
1,11,product11,0.0,16,0.0,0.0
1,12,product12,0.0,16,0.0,0.0
1,13,product13,0.0,16,0.0,0.0
1,14,product14,0.0,0,0.0,0.0
1,15,product15,0.0,18,16.0,0.0
1,16,product16,0.0,4,0.0,0.0
1,17,product17,0.0,15,49.0,0.0
1,18,product18,0.0,10,0.0,0.0
1,19,product19,0.0,4,0.0,0.0
1,20,product20,0.0,6,0.0,0.0
1,21,product21,0.0,9,0.0,0.0
1,22,product22,0.0,4,0.0,0.0
1,23,product23,0.0,0,0.0,0.0
1,24,product24,0.0,8,0.0,0.0
1,25,product25,0.0,18,0.0,0.0
1,26,product26,0.0,20,0.0,0.0
1,27,product27,0.0,5,0.0,0.0
1,28,product28,0.0,29,0.0,0.0
1,29,product29,0.0,12,0.0,0.0
